Gene	P-value
CICP27	0.03697230629374762
NOC2L	0.020249610757151613
PLEKHN1	0.022334924196121424
HES4	0.08752011131616014
C1orf159	0.02074570719242196
SDF4	0.028838506116219128
ACAP3	0.011055046266601237
INTS11	0.005454992102088241
RP5-890O3.9	0.0548352841941991
DVL1	0.013309254063494733
ATAD3B	0.040344662032761366
RP11-345P4.9	0.02881795221658532
MIB2	0.03184983490917437
MMP23B	0.010822909950717214
SLC35E2B	0.02614336462246238
PEX10	0.013549939134430049
PLCH2	0.048074927994863355
RP3-395M20.2	0.006393246292808601
PANK4	0.012120475454817566
RP3-395M20.12	0.003075453310352458
TNFRSF14	0.002515091098891529
RP3-395M20.9	0.08702632009907779
FAM213B	1.657562500178457e-08
MMEL1	8.349420081611302e-12
RP11-46F15.2	0.054068338272521395
RP5-1092A11.2	0.08388346816281846
CEP104	0.0003528407691950528
C1orf174	0.0018353212366017538
AJAP1	0.00139859701365551
RNF207	0.05209153293228847
ACOT7	0.07119692871344498
ESPN	0.00025084521830792266
CAMTA1	0.00030394848259061196
PER3	0.0010719772202624242
RP3-467L1.4	0.024460034087459455
PARK7	0.09562219299925247
RP3-477M7.6	0.04979673469289905
GPR157	0.08099941872937436
H6PD	0.03638952725209582
KIF1B	0.005979412776597793
PEX14	0.013912003889134321
CASZ1	0.028293958747715817
RP4-734G22.3	0.006279846425706891
EXOSC10	0.08680774506432018
TNFRSF1B	0.030707062543671296
RP3-467K16.4	0.06185320829845218
CTRC	0.07204081362009054
PLEKHM2	0.008125715536188774
ZBTB17	0.0011552154390869953
ANO7L1	0.010155498156322775
FBXO42	0.0434050552929993
SZRD1	0.06316350601903345
RP11-430L17.1	0.07513746193988496
EIF1AXP1	0.0003000057692927999
ATP13A2	0.0839755069942702
NBL1	0.024091539349883322
DDOST	0.0010697688885791124
ALPL	0.04073010936425121
LDLRAD2	0.010605662339922356
LUZP1	0.04499999550576312
LINC01355	0.06672006190170168
ELOA	0.0158830952749446
NIPAL3	0.07682874738946865
RUNX3	0.07538712986294303
TMEM50A	0.06228193687772271
MTFR1L	0.04647949587831796
SH3BGRL3	0.0841187606680737
UBXN11	0.0014768269271141171
CD52	0.095557728303049
DPPA2P2	0.07438276245092526
ARID1A	0.032513915824943056
TAF12	0.06209907428219384
SERINC2	0.028931370170327764
SPOCD1	0.059574227556414366
