	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
RP11-34P13.7	14.223276615619438	0.48152950410499973	0.1457699949102575	3.3033513131522763	0.0009553661796819249	0.011123213294529956
CICP27	111.23434770027436	0.2473044848826238	0.10765175355858052	2.2972638782706767	0.021603721073638574	0.08501670491380366
RP11-34P13.14	75.681804937412	0.20783489085482204	0.08703714039987089	2.3878873995627083	0.016945532732678077	0.07285133577652234
MTCO2P12	114.15195878876844	-0.1975211052106825	0.0882339558434781	-2.238606478905621	0.02518153231693887	0.09428562758845059
MTATP6P1	9797.860801852874	-0.28313589064852024	0.07072597163856854	-4.003280323887689	6.247020747446544e-05	0.0018599936077204047
RP11-206L10.9	17.45137729472532	0.16719420075892955	0.06537172167468805	2.55759212815206	0.010539963491254632	0.05318315897732182
NOC2L	1180.5038844266055	-0.1592316491951391	0.04234945283374129	-3.759945844407078	0.0001699501433511998	0.0036070218424858642
PLEKHN1	40.07609136157004	-0.2153062863099608	0.060711485994551305	-3.546384720829992	0.0003905555766879871	0.0061229780069462034
RP11-54O7.17	14.258673644228626	-0.4043843907063962	0.15821191213105715	-2.5559667743059604	0.010589322954153763	0.05337582102096884
HES4	112.63004708519505	-0.81859050270078	0.13498534948691862	-6.064291464312646	1.325366170008809e-09	4.005793422949409e-07
RP11-465B22.3	22.26695367143985	-0.19431906375329458	0.07616009651343474	-2.551455061759493	0.010727415721488727	0.053788010328010574
C1orf159	403.92901303872225	-0.22258252908333076	0.058497374765707884	-3.8050003094123857	0.00014180401345766043	0.0031972185357210183
TTLL10	4.389379402181502	-0.2981586478748313	0.09811163269592331	-3.0389734599454923	0.002373857662057229	0.02003833016724592
TNFRSF4	305.3416394794701	-0.31204422631510814	0.10917104789664413	-2.858305680188495	0.004259098818676291	0.02962263399170807
SDF4	3737.403557077358	-0.08439806086291267	0.024283005221049876	-3.4756019732578927	0.0005097081693013992	0.0073270932922393185
